task,image_1,image_2,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_bird1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_cold1.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_bird3.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_car1.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_cat5.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_bricks1.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_chipmunk2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_phone1.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_dog6.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_archery2.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/elephant1.jpg,../User/Stimuli/gaze_images/unscrambled/cups1.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/horse1.jpg,../User/Stimuli/gaze_images/unscrambled/fence1.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/lamb1.jpg,../User/Stimuli/gaze_images/unscrambled/firehydrant1.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/penguins2.jpg,../User/Stimuli/gaze_images/unscrambled/roofing2.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/zebra1.jpg,../User/Stimuli/gaze_images/unscrambled/sidewalk1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/beach1.jpg,../User/Stimuli/gaze_images/unscrambled/ambulance3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/bridge1.jpg,../User/Stimuli/gaze_images/unscrambled/road1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/fireworks2.jpg,../User/Stimuli/gaze_images/unscrambled/officesupplies3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/flowers8.jpg,../User/Stimuli/gaze_images/unscrambled/solarpanel1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/galaxy7.jpg,../User/Stimuli/gaze_images/unscrambled/billiards1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_lake9.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_cups2.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_nature1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_fence2.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_nature2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_firehydrant2.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_rainbow2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_roofing3.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_sunset5.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_sidewalk3.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/baby1.jpg,../User/Stimuli/gaze_images/unscrambled/motocross1.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/couple4.jpg,../User/Stimuli/gaze_images/unscrambled/carrace3.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_dancing7.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_timber2.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_excitedface2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_officesupplies5.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_father1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_biking1.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_gazing6.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_cups4.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_mother1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_fence6.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/picnic1.jpg,../User/Stimuli/gaze_images/unscrambled/firehydrant3.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/siblings1.jpg,../User/Stimuli/gaze_images/unscrambled/roofing5.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/wedding10.jpg,../User/Stimuli/gaze_images/unscrambled/sidewalk5.jpg,unscrambled,
,,,,
