trial,"actor ","emotion ",channel,sentence,auditory_noise_level,video_1,audio_1,video_1_height,video_1_width,duration,video_1_x,video_1_y,video_1_x*,video_1_y*,
1,M9,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_M9_F_Sp_K_N1.mp4,,480,720,4000,0,0,0,0,
2,W8,Fearful,Song,Dog,Low,../User/Stimuli/V_W8_F_So_D_N1.mp4,../User/Stimuli/A_W8_F_So_D_0.wav,480,720,4000,0,0,0,0,
3,M7,Neutral,Song,Dog,Baseline,../User/Stimuli/AV_M7_N_So_D_N1.mp4,,480,720,4000,0,0,0,0,
4,W8,Fearful,Speech,Kid,No,../User/Stimuli/V_W8_F_Sp_K_N1.mp4,../User/Stimuli/A_W8_F_Sp_K.wav,480,720,4000,0,0,0,0,
5,M9,Neutral,Speech,Dog,Low,../User/Stimuli/V_M9_N_Sp_D_N1.mp4,../User/Stimuli/A_M9_N_Sp_D_0.wav,480,720,4000,0,0,0,0,
6,M7,Happy,Song,Dog,No,../User/Stimuli/V_M7_H_So_D_N1.mp4,../User/Stimuli/A_M7_H_So_D.wav,480,720,4000,0,0,0,0,
7,M9,Neutral,Song,Kid,Low,../User/Stimuli/V_M9_N_So_K_N1.mp4,../User/Stimuli/A_M9_N_So_K_0.wav,480,720,4000,0,0,0,0,
8,W6,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_W6_F_Sp_K_N1.mp4,,480,720,4000,0,0,0,0,
9,W6,Neutral,Song,Kid,Baseline,../User/Stimuli/AV_W6_N_So_K_N1.mp4,,480,720,4000,0,0,,,
10,M7,Happy,Speech,Kid,No,../User/Stimuli/V_M7_H_Sp_K_N1.mp4,../User/Stimuli/A_M7_H_Sp_K.wav,480,720,4000,0,0,,,
11,W6,Happy,Speech,Kid,Baseline,../User/Stimuli/AV_W6_H_Sp_K_N1.mp4,../User/Stimuli/,480,720,4000,0,0,,,
12,W6,Neutral,Song,Dog,No,../User/Stimuli/V_W6_N_So_D_N1.mp4,../User/Stimuli/A_W6_N_So_D.wav,480,720,4000,0,0,,,
13,M9,Fearful,Song,Kid,Baseline,../User/Stimuli/AV_M9_F_So_K_N1.mp4,,480,720,4000,0,0,,,
