Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,
Social Networking,Unscrambled,Icon_5_Control_SN.png,Icon_5_Target_SN.png,../User/Pictures/Social_Networking/Icon_5_Control_SN.png,../User/Pictures/Social_Networking/Icon_5_Target_SN.png,0.444728684,40,
Alcohol,Scrambled,Unopened_1_Control_A.png_Scrambled,Unopened_1_Target_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_1_Control_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_1_Target_A.png,0.441516365,39,
Alcohol,Unscrambled,Social_2_Target_A.png,Social_2_Control_A.png,../User/Pictures/Alcohol/Social_2_Target_A.png,../User/Pictures/Alcohol/Social_2_Control_A.png,0.429374099,38,
Social Networking,Scrambled,Phone_2_Control_SN.png_Scrambled,Phone_2_Target_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_2_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_2_Target_SN.png,0.393425932,37,
Alcohol,Unscrambled,Social_4_Control_A.png,Social_4_Target_A.png,../User/Pictures/Alcohol/Social_4_Control_A.png,../User/Pictures/Alcohol/Social_4_Target_A.png,0.385903059,36,
Social Networking,Scrambled,Icon_4_Target_SN.png_Scrambled,Icon_4_Control_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_4_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_4_Control_SN.png,0.382404996,35,
Alcohol,Scrambled,Poured_2_Control_A.png_Scrambled,Poured_2_Target_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_2_Control_A.png,../User/Pictures/Alcohol/Scrambled_Poured_2_Target_A.png,0.301361585,34,
Social Networking,Unscrambled,Phone_4_Target_SN.png,Phone_4_Control_SN.png,../User/Pictures/Social_Networking/Phone_4_Target_SN.png,../User/Pictures/Social_Networking/Phone_4_Control_SN.png,0.345668856,33,
Alcohol,Unscrambled,Unopened_2_Control_A.png,Unopened_2_Target_A.png,../User/Pictures/Alcohol/Unopened_2_Control_A.png,../User/Pictures/Alcohol/Unopened_2_Target_A.png,0.345508537,32,
Alcohol,Scrambled,Poured_1_Target_A.png_Scrambled,Poured_1_Control_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_1_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_1_Control_A.png,0.242266058,31,
