Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,
Social Networking,Scrambled,Icon_1_Control_SN.png_Scrambled,Icon_1_Target_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_1_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_1_Target_SN.png,0.898268979,80,
Alcohol,Unscrambled,Unopened_3_Target_A.png,Unopened_3_Control_A.png,../User/Pictures/Alcohol/Unopened_3_Target_A.png,../User/Pictures/Alcohol/Unopened_3_Control_A.png,0.978351557,79,
Alcohol,Scrambled,Poured_4_Control_A.png_Scrambled,Poured_4_Target_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_4_Control_A.png,../User/Pictures/Alcohol/Scrambled_Poured_4_Target_A.png,0.595716622,78,
Social Networking,Unscrambled,Misc_3_Control_SN.png,Misc_3_Target_SN.png,../User/Pictures/Social_Networking/Misc_3_Control_SN.png,../User/Pictures/Social_Networking/Misc_3_Target_SN.png,0.931397827,77,
Social Networking,Scrambled,Icon_3_Target_SN.png_Scrambled,Icon_3_Control_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_3_Control_SN.png,0.829406677,76,
Alcohol,Unscrambled,Unopened_5_Control_A.png,Unopened_5_Target_A.png,../User/Pictures/Alcohol/Unopened_5_Control_A.png,../User/Pictures/Alcohol/Unopened_5_Target_A.png,0.99735982,75,
Alcohol,Scrambled,Location_2_Target_A.png_Scrambled,Location_2_Control_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_2_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_2_Control_A.png,0.918020874,74,
Social Networking,Unscrambled,Website_3_Control_SN.png,Website_3_Target_SN.png,../User/Pictures/Social_Networking/Website_3_Control_SN.png,../User/Pictures/Social_Networking/Website_3_Target_SN.png,0.951300005,73,
Alcohol,Scrambled,Location_3_Target_A.png_Scrambled,Location_3_Control_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_3_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_3_Control_A.png,0.877658468,72,
Social Networking,Unscrambled,Website_1_Target_SN.png,Website_1_Control_SN.png,../User/Pictures/Social_Networking/Website_1_Target_SN.png,../User/Pictures/Social_Networking/Website_1_Control_SN.png,0.842458716,71,
Alcohol,Scrambled,Unopened_3_Control_A.png_Scrambled,Unopened_3_Target_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_3_Control_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_3_Target_A.png,0.872274402,70,
Social Networking,Unscrambled,Misc_1_Control_SN.png,Misc_1_Target_SN.png,../User/Pictures/Social_Networking/Misc_1_Control_SN.png,../User/Pictures/Social_Networking/Misc_1_Target_SN.png,0.855958299,69,
Alcohol,Scrambled,Poured_3_Target_A.png_Scrambled,Poured_3_Control_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_3_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_3_Control_A.png,0.850599763,68,
Social Networking,Scrambled,Misc_3_Target_SN.png_Scrambled,Misc_3_Control_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_3_Control_SN.png,0.847477665,67,
Alcohol,Unscrambled,Social_1_Control_A.png,Social_1_Target_A.png,../User/Pictures/Alcohol/Social_1_Control_A.png,../User/Pictures/Alcohol/Social_1_Target_A.png,0.866652096,66,
Social Networking,Unscrambled,Icon_3_Target_SN.png,Icon_3_Control_SN.png,../User/Pictures/Social_Networking/Icon_3_Target_SN.png,../User/Pictures/Social_Networking/Icon_3_Control_SN.png,0.926202262,65,
Alcohol,Scrambled,Location_5_Control_A.png_Scrambled,Location_5_Target_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_5_Control_A.png,../User/Pictures/Alcohol/Scrambled_Location_5_Target_A.png,0.829134357,64,
Social Networking,Scrambled,Phone_3_Target_SN.png_Scrambled,Phone_3_Control_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_3_Control_SN.png,0.723777123,63,
Alcohol,Unscrambled,Unopened_4_Control_A.png,Unopened_4_Target_A.png,../User/Pictures/Alcohol/Unopened_4_Control_A.png,../User/Pictures/Alcohol/Unopened_4_Target_A.png,0.271173039,62,
Social Networking,Scrambled,Misc_5_Target_SN.png_Scrambled,Misc_5_Control_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_5_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_5_Control_SN.png,0.735848671,61,
Social Networking,Scrambled,Website_3_Control_SN.png_Scrambled,Website_3_Target_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_3_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_3_Target_SN.png,0.725385882,60,
Alcohol,Unscrambled,Social_3_Control_A.png,Social_3_Target_A.png,../User/Pictures/Alcohol/Social_3_Control_A.png,../User/Pictures/Alcohol/Social_3_Target_A.png,0.810596627,59,
Social Networking,Unscrambled,Misc_5_Target_SN.png,Misc_5_Control_SN.png,../User/Pictures/Social_Networking/Misc_5_Target_SN.png,../User/Pictures/Social_Networking/Misc_5_Control_SN.png,0.723434536,58,
Alcohol,Scrambled,Poured_5_Target_A.png_Scrambled,Poured_5_Control_A.png_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_5_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_5_Control_A.png,0.717288937,57,
Social Networking,Scrambled,Website_2_Control_SN.png_Scrambled,Website_2_Target_SN.png_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_2_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_2_Target_SN.png,0.710318634,56,
Alcohol,Unscrambled,Poured_2_Target_A.png,Poured_2_Control_A.png,../User/Pictures/Alcohol/Poured_2_Target_A.png,../User/Pictures/Alcohol/Poured_2_Control_A.png,0.680065572,55,
Social Networking,Unscrambled,Phone_1_Control_SN.png,Phone_1_Target_SN.png,../User/Pictures/Social_Networking/Phone_1_Control_SN.png,../User/Pictures/Social_Networking/Phone_1_Target_SN.png,0.660614333,54,
